l1_pt,l1_eta,l1_phi,l1_energy,l2_pt,l2_eta,l2_phi,l2_energy,l3_pt,l3_eta,l3_phi,l3_energy,l4_pt,l4_eta,l4_phi,l4_energy,n
36.7714,-1.0808423,-2.2335305,60.42406,33.07746,0.24570125,1.1019801,34.08092,21.611788,1.0023814,1.2061254,33.40931,20.71179,-1.9942658,-1.5721757,77.49234,0.029939545692274073
39.81317,2.0485466,-1.7952063,156.9742,36.557392,1.8095323,0.04114622,114.6315,27.968185,-0.028387304,2.376455,27.97945,19.441578,-0.19427493,1.9664882,19.80962,0.016332566835977533
139.865,0.26230475,-2.3620703,144.7043,95.944626,-0.5206253,0.62637293,109.2439,32.019493,0.983005,0.8984269,48.77625,17.118065,0.35795477,1.4651312,18.22651,0.03683517946396107
67.16898,-0.39123735,2.6981745,72.37555,47.727154,0.04739901,-0.4356318,47.78078,31.815355,-1.8654354,0.39378154,105.2066,24.075012,-2.0113225,-2.0914903,91.56939,0.005714197050941568
85.13962,-1.432911,1.3907299,188.5627,83.38813,-1.8580185,-1.1624341,273.805,34.133373,-0.89578193,-2.979195,48.76871,14.777417,-0.19078381,-3.0254192,15.04718,0.04671868401954654
126.46705,0.018461056,-2.2796977,126.4886,67.5212,1.1287448,1.233072,115.2996,52.274567,-0.16761899,0.57871926,53.01065,16.612347,0.36474824,0.22458607,17.72971,0.008174960066507805
72.63414,0.9461423,-0.34505773,107.6434,63.235493,1.308002,-2.6022396,125.4952,30.748655,0.38173142,1.5681819,33.01632,29.87351,1.2989092,2.0651748,58.82282,0.017023691028919912
55.473038,-2.4483402,0.38222584,323.2848,50.27203,0.3148474,-1.5664713,52.78438,48.03172,0.46181536,2.3525262,53.24535,18.40887,-0.6711124,-2.8942473,22.71242,0.023904330809389165
67.089584,-0.057085324,-1.2445825,67.19892,65.133255,-0.72153145,2.0553827,82.83613,47.001118,-1.1124778,0.22328244,79.21168,37.263515,0.95766914,-3.0207949,55.69782,0.012941493866610082
55.168083,-0.7876234,2.2142625,73.18296,54.045742,-2.0334618,-1.7422267,210.0048,39.287334,-2.2896583,0.9638548,195.9037,30.53684,-0.03770145,-0.86052483,30.55854,0.02754371128234041
64.718796,0.11204547,-0.4350884,65.12547,64.16605,-0.8812126,-2.786252,90.73417,32.993324,-0.44637874,0.83281136,36.3353,32.62518,0.9223363,2.2593021,47.51447,0.020007090140637854
201.23566,0.75670314,-0.10358995,261.6515,159.83235,-0.22089069,-3.07754,163.7476,42.970848,0.5341306,2.3436787,49.24767,10.653511,0.67333835,3.115628,13.16121,0.04227478357860297
